Sentence,Label_0,Label_1,Label_2,Label_3,Label_4
"Certain viruses, such as Epstein-Barr virus (EBV) and human papillomavirus (HPV), utilize G-quadruplex structures for viral gene expression and replication.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in the viral genome play a role in viral replication, and targeting these structures can be a potential strategy for antiviral drug development.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral genomes are involved in the regulation of viral replication and gene expression, presenting opportunities for the development of antiviral strategies.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral genomes can affect viral replication and may serve as potential targets for antiviral therapies.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral genomes can impact viral gene expression, replication, and pathogenesis, offering potential targets for therapeutic interventions.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral genomes can modulate viral gene expression and contribute to viral pathogenesis.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral genomes can modulate viral gene expression and replication, making them attractive targets for the development of antiviral therapeutics.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral genomes can modulate viral gene expression and translation, contributing to the regulation of viral replication.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral genomes can modulate viral replication and gene expression, offering potential targets for antiviral therapies.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral genomes can serve as key regulators of viral replication and pathogenesis, making them attractive targets for therapeutic intervention.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral genomes have the potential to regulate viral replication and impact the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral genomes have the potential to regulate viral replication and impact the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral genomes have the potential to regulate viral replication and impact the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral genomes play a regulatory role in viral replication and gene expression, with implications for the development of antiviral strategies.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral genomes play a regulatory role in viral replication and translation, with implications for the development of antiviral strategies.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral genomes play a regulatory role in viral replication and translation, with implications for the development of antiviral strategies.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral genomes play a regulatory role in viral replication and translation, with implications for the development of antiviral strategies.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral genomes play important roles in viral replication, gene expression, and the modulation of host-virus interactions.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral RNA can act as regulatory elements and influence various stages of the viral life cycle, including replication and translation.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA can affect viral replication and may represent targets for the development of antiviral therapies.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA can function as regulatory elements that influence viral replication and translation.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA can function as regulatory elements that influence viral replication and translation.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA can function as regulatory elements that influence viral replication and translation.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral RNA can modulate viral gene expression and replication, making them attractive targets for antiviral intervention.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral RNA can serve as regulatory elements that modulate various aspects of the viral life cycle, including replication and translation.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral RNA genomes are involved in the control of viral replication and gene expression, offering potential targets for therapeutic intervention.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA genomes are involved in the control of viral replication and the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA genomes are involved in the control of viral replication and the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA genomes are involved in the control of viral replication and the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA genomes are involved in the control of viral replication and the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA genomes can act as molecular switches that regulate viral replication and control the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA genomes can act as molecular switches that regulate viral replication and control the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA genomes can act as molecular switches that regulate viral replication and control the host immune response.,G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral RNA genomes can modulate viral gene expression and replication, making them attractive targets for antiviral intervention.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral RNA genomes play a regulatory role in the control of various aspects of the viral life cycle, including replication and translation.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral RNA genomes play a regulatory role in the control of various aspects of the viral life cycle, including replication and translation.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral RNA genomes play a regulatory role in the control of various aspects of the viral life cycle, including replication and translation.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
"G-quadruplex structures in viral RNA genomes play a regulatory role in the control of various aspects of the viral life cycle, including replication and translation.",G4-HSP interaction,Disease Type,Virus Species,Stress Protein Type,G4 Type
G-quadruplex structures in viral RNA genomes have emerged as important regulatory elements that impact viral replication and pathogenesis.,Not specified,Viral infection,Not specified,Not specified,Not specified
Here we summarize the strategies shared by viruses in the Picornaviridae and Coronaviridae families to counteract host defense.,Not specified,Viral infection,"Picornaviridae, Coronaviridae",Not specified,Not specified
"Here, we describe the role of G3BP1 during specific viral infections and the ways by which G3BP1 is targeted.",Not specified,Viral infection,Not specified,G3BP1,Not specified
"Here, we explore the mechanisms by which different viruses regulate G3BP1 function during infection.",Not specified,Viral infection,Not specified,G3BP1,Not specified
"Here, we focus on the role of G3BP1 during viral infection and the various strategies utilized by viruses to exploit or counteract G3BP1 functions.",Not specified,Viral infection,Not specified,G3BP1,Not specified
"Here, we report that this event is to suppress cellular inflammation and is mediated by the viral replicase protein nsp1β.",Not specified,Inflammation,Not specified,Viral replicase protein nsp1β,Not specified
"Here, we show that the primary purpose of this selective targeting of PKR signaling is to suppress the cellular inflammatory responses.",Not specified,Inflammation,Not specified,PKR,Not specified
"Here, we show that this selective targeting of PKR signaling down-regulates cellular inflammatory responses.",Not specified,Inflammation,Not specified,PKR,Not specified
High levels of expression of PDGF have been associated with increased cell growth and cancer.,Not specified,Cancer,Not specified,Not specified,Not specified
"However, G3BP1 is also required for establishing CHIKV replication complexes, and post-translational modifications required for this process have not been defined",Not specified,Viral infection,CHIKV,G3BP1,Not specified
"In addition to being a crucial structural component, G3BP1 also plays a role in stress granule formation.",Yes,Not specified,Not specified,G3BP1,Not specified
"In addition to G3BP1, other cellular proteins are involved in stress granule assembly.",Not specified,Not specified,Not specified,Other cellular proteins,Not specified
"In conclusion, our results highlight the intricate interplay between G3BP1 and viral infections, where G3BP1 can have both proviral and antiviral functions depending on the specific virus and infection stage.",Not specified,Viral infection,Not specified,G3BP1,Not specified
"In contrast, G3BP1 expression restricts the replication of some viruses.",Not specified,Viral infection,Not specified,G3BP1,Not specified
"In contrast, G3BP1 knockdown leads to reduced viral replication, suggesting a proviral role of G3BP1 in the context of FMDV infection.",Not specified,Viral infection,FMDV,G3BP1,Not specified
"In Drosophila, G3BP functions as an antiviral factor and restricts the replication of viruses such as Drosophila C virus (DCV) and Flock House virus (FHV).",Not specified,Viral infection,"DCV, FHV",G3BP,Not specified
"In infected cells, G3BP1 is targeted for degradation by viral proteases, leading to the disruption of SGs and promotion of viral replication.",Not specified,Viral infection,Not specified,G3BP1,Not specified
"In recent years, the presence of G4s in viruses has attracted increasing interest.",Not specified,Not specified,Not specified,Not specified,G4s
"In response to viral infections, G3BP1 is often modified by phosphorylation, ADP-ribosylation, or other post-translational modifications, which can influence its localization, interaction partners, and function.",Not specified,Viral infection,Not specified,G3BP1,Not specified
"Increased expression of G3BP1 has been associated with enhanced viral replication and pathogenesis in several viral infections, including HCV, influenza A virus, and HIV-1.",Not specified,Viral infection,"HCV, influenza A virus, HIV-1",G3BP1,Not specified
Inhibition of G-quadruplex formation in viral RNA can disrupt viral replication and provide a potential target for antiviral intervention.,Not specified,Viral infection,Not specified,Not specified,Not specified
"Inhibition of G3BP1 function or depletion of G3BP1 expression results in impaired viral replication, indicating the importance of G3BP1 for efficient viral infection.",Not specified,Viral infection,Not specified,G3BP1,Not specified
"Interaction between G3BP1 and viral proteins can modulate viral replication, viral protein translation, and immune evasion strategies.",Not specified,Viral infection,Not specified,G3BP1,Not specified
"Intriguingly, G3BP1 activity is regulated by various post-translational modifications during viral infection.",Not specified,Viral infection,Not specified,G3BP1,Not specified
"It has been demonstrated that G3BP1 is an essential factor for the replication of certain viruses, including dengue virus, Zika virus, and Semliki Forest virus.",Not specified,Viral infection,"Dengue virus, Zika virus, Semliki Forest virus",G3BP1,Not specified
It has been suggested that G3BP1-mediated reduction of viral replication occurs through the expression of non-cleavable G3BP1.,Not specified,Viral infection,Not specified,G3BP1,Not specified
"It is interesting to note that G3BP1 can either promote or inhibit the viral life cycle, but the molecular mechanisms are not completely understood.",Not specified,Viral infection,Not specified,G3BP1,Not specified
"Knockdown of G3BP1 leads to a reduction in viral replication, titer, and viral protein levels.",Not specified,Viral infection,Not specified,G3BP1,Not specified
"Knockdown of G3BP1 results in reduced viral replication, indicating that G3BP1 plays a proviral role in the context of NDV infection.",Not specified,Viral infection,NDV,G3BP1,Not specified
Knockdown of G3BP1 using siRNA inhibits viral replication and impairs the formation of viral replication complexes.,Not specified,Viral infection,Not specified,G3BP1,Not specified
"Knockdown of SG proteins TIA-1, TIAR, or Ras GTPase-activating protein-binding protein 1 (G3BP1) impairs HCV RNA replication, virus assembly, and egress.",Not specified,Viral infection,HCV,SG proteins,Not specified
"Loss of G3BP1 expression results in reduced viral replication, suggesting that G3BP1 is required for efficient viral infection.",Not specified,Viral infection,Not specified,G3BP1,Not specified
Many guanine-rich sequences that had the potential to form quadruplexes were discovered following sequencing of the human genome.,Not specified,Not specified,Not specified,Not specified,Quadruplexes
"Many viruses have evolved strategies to modulate G3BP1 function to promote viral replication, evade host immune responses, or manipulate host cell physiology.",Not specified,Viral infection,Not specified,G3BP1,Not specified
"Mutations in G3BP1 have been associated with neurodegenerative disorders, highlighting the importance of G3BP1 in maintaining cellular homeostasis and neurological health.",Not specified,Neurodegenerative disorders,Not specified,G3BP1,Not specified
"NDV infection induces the formation of SGs, which contain predominantly cellular mRNA rather than viral mRNA.",Not specified,Viral infection,NDV,Not specified,Not specified
"NDV infection leads to the formation of SGs, which play a role in the regulation of viral RNA replication and translation.",Not specified,Viral infection,NDV,Not specified,Not specified
"NDV infection triggers the formation of SGs, which sequester cellular mRNA and translation factors, thereby inhibiting host protein synthesis.",Not specified,Viral infection,NDV,Not specified,Not specified
"Non-cleavable G3BP1 expression results in persistent SGs and reduces viral replication, suggesting that SGs play a role in limiting viral spread.",Not specified,Viral infection,Not specified,G3BP1,Not specified
"Our findings demonstrate the complex interplay between G3BP1, viral infections, and host responses, which can have both proviral and antiviral effects depending on the specific context.",Not specified,Viral infection,Not specified,G3BP1,Not specified
"Overall, G3BP1 plays a multifaceted role during viral infections, influencing viral replication, innate immune responses, and host cell processes.",Not specified,Viral infection,Not specified,G3BP1,Not specified
"PDGF, when expressed at high levels, has been associated with increased cell growth and cancer.",Not specified,Cancer,Not specified,Not specified,Not specified
"Picornaviruses, such as poliovirus and coxsackievirus, utilize the cleavage activity of the viral protein 3C protease to disrupt G3BP1 and disassemble stress granules.",Not specified,Viral infection,"Poliovirus, Coxsackievirus",G3BP1,Not specified
"Post-translational modifications of G3BP1, including phosphorylation and ubiquitination, regulate its function during viral infection and stress response.",Not specified,Viral infection,Not specified,G3BP1,Not specified
Protein-protein interactions involving G3BP1 play a crucial role in the assembly of stress granules during viral infection and cellular stress.,Not specified,Viral infection,Not specified,G3BP1,Not specified
"Regulation of G3BP1 function is critical for the outcome of viral infections, as it can either enhance or restrict viral replication depending on the specific virus and cellular context.",Not specified,Viral infection,Not specified,G3BP1,Not specified
Sequestration of G3BP1 by viral proteins disrupts stress granule formation and impairs the antiviral response against RNA viruses.,Not specified,Viral infection,RNA viruses,G3BP1,Not specified
"Several viruses, including influenza virus and human immunodeficiency virus (HIV), exploit G3BP1 to enhance their replication and evade host immune defenses.",Not specified,Viral infection,"Influenza virus, HIV",G3BP1,Not specified
SG assembly and G3BP1 function are tightly regulated during viral infection to ensure optimal viral replication and immune evasion.,Not specified,Viral infection,Not specified,G3BP1,Not specified
Stabilization of G-quadruplex structures in the viral genome can interfere with viral replication and serve as a novel antiviral strategy.,Not specified,Viral infection,Not specified,Not specified,Not specified
Targeting G-quadruplex structures in viral genomes may provide a novel approach for the development of broad-spectrum antiviral drugs.,Not specified,Viral infection,Not specified,Not specified,Not specified
The dynamic interplay between G-quadruplex structures and viral proteins can impact viral replication and contribute to viral pathogenesis.,Not specified,Viral infection,Not specified,Not specified,Not specified
The dynamic interplay between G-quadruplex structures and viral proteins influences viral replication and the host-virus interaction.,Not specified,Viral infection,Not specified,Not specified,Not specified
"The formation and stability of G-quadruplex structures in viral RNA can influence viral replication and pathogenesis, offering potential targets for antiviral interventions.",Not specified,Viral infection,Not specified,Not specified,Not specified
The formation and stabilization of G-quadruplex structures in viral genomes can modulate viral gene expression and replication.,Not specified,Viral infection,Not specified,Not specified,Not specified
The formation and stabilization of G-quadruplex structures in viral RNA can influence viral replication and the host immune response.,Not specified,Viral infection,Not specified,Not specified,Not specified
The formation and targeting of G-quadruplex structures in viral RNA can be explored for the development of novel antiviral strategies.,Not specified,Viral infection,Not specified,Not specified,Not specified
"The formation of stress granules, mediated by G3BP1 and other SG components, is hijacked by certain viruses to create sites of viral replication and assembly.",Not specified,Viral infection,Not specified,G3BP1,Not specified
The interactions between G-quadruplex structures and cellular proteins can impact viral replication and contribute to viral pathogenesis.,Not specified,Viral infection,Not specified,Not specified,Not specified
The interactions between G-quadruplex structures and viral proteins play a significant role in the modulation of viral replication and the host immune response.,Not specified,Viral infection,Not specified,Not specified,